bank_id,bank_name,quarter_end_date,total_assets,total_loans,allowance_for_credit_losses,noncurrent_loans,net_charge_offs,deposits,tier1_capital,risk_weighted_assets,total_equity_capital,net_income
14,STATE STREET BANK&TRUST CO,2025-12-31,360681000,46770000,0.4109618210080276,0.549368651917467,0.08278073561575797,280582000,16.27318149336108,16.27318149336108,28919000,3025000
35,AUBURNBANK,2025-12-31,1018261,558350,1.268907176681532,0.0924802750006189,0.07078223259255044,923654,16.05563426679027,16.05563426679027,90760,7464
39,ROBERTSON BANKING CO,2025-12-31,468318,306814,1.5119220348993978,0.107856858540594,0.00569339186983641,407647,14.072993456830622,14.072993456830622,48019,9181
41,PHENIX-GIRARD BANK,2025-12-31,345388,81097,1.3238425503437363,0.01946827279917259,0.160041758588087,327931,0,0,8801,2982
49,BANK OF EVERGREEN,2025-12-31,77314,31193,1.621093134008263,0.589775128520516,0.05970486940345408,68011,0,0,8966,562
50,COMMUNITY SPIRIT BANK,2025-12-31,220292,144510,1.3112067199344395,0.02936556716519839,0.02426093347509329,198159,0,0,17878,3562
51,BANK OF VERNON,2025-12-31,414568,316102,1.1473835963861638,0.0950680330611594,0.33411030075650583,345108,0,0,67612,5337
52,CITIZENS BANK OF WINFIELD,2025-12-31,294607,111327,0.9149570557607584,0.21449868719683143,0.5605979711692471,221217,0,0,27508,1334
54,EXCHANGE BANK OF ALABAMA,2025-12-31,392141,199546,1.271547032397237,0.02622256525955391,0.05396405993608257,336583,0,0,51671,4490
58,UNITED BANK,2025-12-31,1446151,882475,1.315752688592896,1.7696571729544943,0.5490636587957054,1194745,20.741418077415876,20.741418077415876,213039,18674
70,PEOPLES EXCHANGE BANK,2025-12-31,97056,52667,1.4815091939617278,1.537626966460278,0.0127502695771282,85400,0,0,11010,712
72,CENTRAL STATE BANK,2025-12-31,743393,539201,1.1046835795929748,0.1995510102269893,0.07413705483745298,666469,0,0,71372,14782
77,BANKSOUTH,2025-12-31,210629,169841,1.6304096005930868,0.02142989528310629,0,168643,0,0,40856,3036
81,WARREN BANK&TRUST CO,2025-12-31,141008,84745,1.1016583225384822,0.5718353580973053,0.0960838135546978,115749,0,0,21602,477
88,GENERATIONS BANK,2025-12-31,1064187,734524,1.268878601652768,1.3875671403455003,0.1684514567216108,896090,13.305622440550469,13.305622440550469,117624,11522
89,SIGNATURE BANK OF ARKANSAS,2025-12-31,1523393,1250652,1.1610290648464487,0,0.01419409220045552,1324919,10.778722918053845,10.778722918053845,135037,15511
90,COMMERCIAL BANK&TRUST CO,2025-12-31,375073,246930,1.1295250069068792,3.88627072564274,0.25252100840336134,339067,0,0,24836,2614
