bank_id,bank_name,quarter_end_date,total_assets,total_loans,allowance_for_credit_losses,noncurrent_loans,net_charge_offs,deposits,tier1_capital,risk_weighted_assets,total_equity_capital,net_income,nco_ratio,nco_ratio_next_q,high_risk_next_q,reserve_coverage_ratio,npa_ratio,capital_ratio,equity_to_assets,roa,total_loans_lag1,deposits_lag1,nco_ratio_lag1,npa_ratio_lag1,loan_growth_qoq,deposit_growth_qoq,coralacbn
10004,ERGO BANK,2025-12-31,261034,203401,0.9775618400362204,1.6936940445647464,0.00302133667963155,219564,10.605069348386856,10.605069348386856,25894,1603,0.00302133667963155,NA,0,0.9775618400362204,1.6936940445647464,10.605069348386856,0.09919780564983872,0.00614096247998345,NA,NA,NA,NA,NA,NA,0.61
10011,WOODFORD STATE BANK,2025-12-31,509049,380040,0.5729534573424377,0.15069460795855896,0.17894152236711952,390422,10.75275335960392,10.75275335960392,33177,6774,0.17894152236711952,NA,0,0.5729534573424377,0.15069460795855896,10.75275335960392,0.06517447239853139,0.013307166893560344,NA,NA,NA,NA,NA,NA,0.61
10012,PORTAGE COUNTY BANK,2025-12-31,215689,123098,0.9845401457505508,0.103762809478612,0,180130,0,0,26041,3130,0,NA,0,0.9845401457505508,0.103762809478612,0,0.12073401981556779,0.014511634807523795,NA,NA,NA,NA,NA,NA,0.61
10015,SECURITY BANK,2025-12-31,231630,205353,0.9129291418369564,1.2531062269294797,0.14670584256017996,196238,0,0,27421,3304,0.14670584256017996,NA,0,0.9129291418369564,1.2531062269294797,0,0.11838276561757977,0.014264128135388335,NA,NA,NA,NA,NA,NA,0.61
10044,NATIONAL EXCHANGE BANK&TRUST,2025-12-31,2920038,1662185,2.9968422041660028,1.9262496228561157,0.21336839563921323,2301942,0,0,554120,43709,0.21336839563921323,NA,0,2.9968422041660028,1.9262496228561157,0,0.18976465374765672,0.014968640819057834,NA,NA,NA,NA,NA,NA,0.61
1005,ISABELLA BANK,2025-12-31,2161209,1523061,0.8932266519519934,0.29789404914666173,-0.09603751316063158,1850654,11.199700763839672,11.199700763839672,178727,21459,-0.09603751316063158,NA,0,0.8932266519519934,0.29789404914666173,11.199700763839672,0.08269769374456612,0.009929164648120567,NA,NA,NA,NA,NA,NA,0.61
10055,FIRST SOUTHERN BANK,2025-12-31,327683,229327,0.8907117050149533,0.01123653776341037,0.00460039158533174,288457,13.9514675592173,13.9514675592173,30849,2943,0.00460039158533174,NA,0,0.8907117050149533,0.01123653776341037,13.9514675592173,0.09414281485460033,0.008981241016470186,NA,NA,NA,NA,NA,NA,0.61
10057,BANK OF HANCOCK COUNTY,2025-12-31,86116,18789,3.5719784449576597,0.9648447523736208,0.13302226588081206,72350,0,0,13639,484,0.13302226588081206,NA,0,3.5719784449576597,0.9648447523736208,0,0.15837939523433509,0.005620326071810116,NA,NA,NA,NA,NA,NA,0.61
10072,PLANTERS&CITIZENS BANK,2025-12-31,145425,76985,1.5474135174883303,0.2941364537374513,0.0024411857327341,123552,0,0,11695,967,0.0024411857327341,NA,0,1.5474135174883303,0.2941364537374513,0,0.0804194602028537,0.0066494756747464325,NA,NA,NA,NA,NA,NA,0.61
10074,APEX BANKING CO OF GEORGIA,2025-12-31,76580,36989,1.4073619958951942,0.12794199962683583,0.07053778003498674,70659,0,0,5816,313,0.07053778003498674,NA,0,1.4073619958951942,0.12794199962683583,0,0.07594672238182293,0.004087229041525202,NA,NA,NA,NA,NA,NA,0.61
10075,PEOPLES STATE BANK OF COLFAX,2025-12-31,46921,19843,0.5612628413931345,0,0,41204,0,0,5308,681,0,NA,0,0.5612628413931345,0,0,0.11312631870590993,0.014513757166300803,NA,NA,NA,NA,NA,NA,0.61
10077,FARMERS STATE BANK OF EMDEN,2025-12-31,37148,13129,0.6883509833585476,0.0226928895612708,0,25938,60.28423066411588,60.28423066411588,11028,499,0,NA,0,0.6883509833585476,0.0226928895612708,60.28423066411588,0.2968665877032411,0.013432755464627974,NA,NA,NA,NA,NA,NA,0.61
1008,BANK MICHIGAN,2025-12-31,153545,117212,1.1619866767855636,1.5077156589931695,0.1988009929106472,126761,15.717187926795958,15.717187926795958,18941,7188,0.1988009929106472,NA,0,1.1619866767855636,1.5077156589931695,15.717187926795958,0.12335797323260282,0.04681363769578951,NA,NA,NA,NA,NA,NA,0.61
10101,NAPOLEON STATE BANK,2025-12-31,483356,338424,1.3602805086697116,0.2649442859183132,0.07551565107177853,427004,0,0,52415,7087,0.07551565107177853,NA,0,1.3602805086697116,0.2649442859183132,0,0.10843974213623085,0.014662071020117677,NA,NA,NA,NA,NA,NA,0.61
10111,OHNWARD BANK&TRUST,2025-12-31,481985,363819,1.0931383210091346,0.5806872553284037,0.00228067464636714,403770,0,0,58143,5667,0.00228067464636714,NA,0,1.0931383210091346,0.5806872553284037,0,0.1206323848252539,0.01175762731205328,NA,NA,NA,NA,NA,NA,0.61
10118,LEIGHTON STATE BANK,2025-12-31,290870,211187,0.8390695577863965,0.957393860283415,0.23984009373549256,246685,14.064673157162726,14.064673157162726,32595,3836,0.23984009373549256,NA,0,0.8390695577863965,0.957393860283415,14.064673157162726,0.11206037061230102,0.013188022140475127,NA,NA,NA,NA,NA,NA,0.61
10120,AMERICAN TRUST&SAVINGS BANK,2025-12-31,30950,5870,6.424358361230671,9.15032679738562,-1.4058741827297672,26072,39.72224478193779,39.72224478193779,3719,-194,-1.4058741827297672,NA,0,6.424358361230671,9.15032679738562,39.72224478193779,0.12016155088852988,-0.006268174474959612,NA,NA,NA,NA,NA,NA,0.61
10121,LIBERTY TRUST&SAVINGS BANK,2025-12-31,181110,107024,1.3039709326988695,0.4039174459137941,0.01202792699603448,145762,0,0,34606,2179,0.01202792699603448,NA,0,1.3039709326988695,0.4039174459137941,0,0.19107724587267408,0.012031362155596047,NA,NA,NA,NA,NA,NA,0.61
